codigo,descricao,familia_codigo,familia_material,classificacao_score,classificacao_motivo,material_relevante
408494,"CABO ELÉTRICO FLEXÍVEL, TENSÃO ISOLAMENTO: 750 V, TIPO: UNIPOLAR , CARACTERÍSTICAS ADICIONAIS: EXTRA FLEXÍVEL , COR DA COBERTURA: PRETO, BRANCO, VERMELHO, AZUL CLARO, CINZA, VERDE- , MATERIAL DO CONDUTOR: COBRE , REFERÊNCIA: CABO SUPERASTIC FLEX 750V BWF ANTIFLAM , MATERIAL COBERTURA: PVC ANTI-CHAMA , BITOLA: 2,5 MM2",cabos_condutores,Cabos Condutores,1,Curadoria técnica com cobertura e comparabilidade validadas,True
432011,"CABO ELÉTRICO NÚ COBRE, TENSÃO ISOLAMENTO: 750 V, TÊMPERA CONDUTOR: MEIO-DURO , APLICAÇÃO: SISTEMA DE ATERRAMENTO , FORMAÇÃO CONDUTOR: 7 FIOS , SEÇÃO NOMINAL: 50 MM2, DIÂMETRO NOMINAL: 3 MM",cabos_condutores,Cabos Condutores,1,Curadoria técnica com cobertura e comparabilidade validadas,True
470420,"CABO ELÉTRICO ISOLADO, MATERIAL CONDUTOR: COBRE NÚ ELETROLÍTICO DE ALTA PUREZA , SEÇÃO NOMINAL: 1,5 MM2, TENSÃO ISOLAMENTO: 450/750 V, COR DO ISOLAMENTO: PRETA , CARACTERÍSTICAS ADICIONAIS: SINGELO EXTRA FLEXÍVEL E DESLIZANTE , APLICAÇÃO: INSTALAÇÕES ELÉTRICAS , NORMAS TÉCNICAS: NBRNM 247-3 , QUANTIDADE CONDUTORES: 2 , CLASSE DE ENCORDOAMENTO: 5 , TEMPERATURA MÁXIMA TRABALHO: 70 °C, MATERIAL ISOLAMENTO: PVC BWF-B DUPLA CAMADA",cabos_condutores,Cabos Condutores,1,Curadoria técnica com cobertura e comparabilidade validadas,True
484197,"DISJUNTOR BAIXA TENSÃO, FUNCIONAMENTO: TERMOMAGNÉTICO , TENSÃO MÁXIMA OPERAÇÃO: 127/220 V, CORRENTE NOMINAL: 25 A, NÚMERO DE FASES: MONOPOLAR , CURVA DE DISPARO: C , APLICAÇÃO: INSTALAÇÕES ELÉTRICAS , PADRÃO: DIN",disjuntores_chaves,Disjuntores Chaves,1,Curadoria técnica com cobertura e comparabilidade validadas,True
484199,"DISJUNTOR BAIXA TENSÃO, FUNCIONAMENTO: TERMOMAGNÉTICO , TENSÃO MÁXIMA OPERAÇÃO: 127/220 V, CORRENTE NOMINAL: 40 A, NÚMERO DE FASES: TRIPOLAR , CURVA DE DISPARO: C , APLICAÇÃO: INSTALAÇÕES ELÉTRICAS , PADRÃO: DIN",disjuntores_chaves,Disjuntores Chaves,1,Curadoria técnica com cobertura e comparabilidade validadas,True
484200,"DISJUNTOR BAIXA TENSÃO, FUNCIONAMENTO: TERMOMAGNÉTICO , TENSÃO MÁXIMA OPERAÇÃO: 127/220 V, CORRENTE NOMINAL: 50 A, NÚMERO DE FASES: TRIPOLAR , CURVA DE DISPARO: C , APLICAÇÃO: INSTALAÇÕES ELÉTRICAS , PADRÃO: DIN",disjuntores_chaves,Disjuntores Chaves,1,Curadoria técnica com cobertura e comparabilidade validadas,True
286852,"MEDIDOR DEMANDA ELETRICIDADE, TIPO: MONOFÁSICO , TIPO MEDIÇÃO: ENERGIA ATIVA KWH , TIPO USO: CONTADOR ELETRO-MECÂNICO , APLICAÇÃO: MONITORAMENTO QUALIDADE ENERGIA ELÉTRICA, DIAGNÓS- , CARACTERÍSTICAS ADICIONAIS: CORPO METÁLICO COM VISOR EM VIDRO TRANSPARENTE",medidores_energia,Medidores Energia,1,Curadoria técnica com cobertura e comparabilidade validadas,True
287355,Medidor bifásico eletromecânico,medidores_energia,Medidores Energia,1,Curadoria técnica com cobertura e comparabilidade validadas,True
287357,Medidor trifásico eletromecânico,medidores_energia,Medidores Energia,1,Curadoria técnica com cobertura e comparabilidade validadas,True
356362,Medidor polifásico eletromecânico,medidores_energia,Medidores Energia,1,Curadoria técnica com cobertura e comparabilidade validadas,True
383951,"MEDIDOR DEMANDA ELETRICIDADE, TIPO: TRIFÁSICO , TIPO DISPLAY: CICLOMÉTRICO, 5 DÍGITOS DE MEDIÇÃO , TIPO MEDIÇÃO: ENERGIA ATIVA KWH , TIPO USO: DOMICILIAR , APLICAÇÃO: TENSÃO 120 VOLTS, CLASSE O1",medidores_energia,Medidores Energia,1,Curadoria técnica com cobertura e comparabilidade validadas,True
383953,Medidor monofásico de energia ativa kWh,medidores_energia,Medidores Energia,1,Curadoria técnica com cobertura e comparabilidade validadas,True
422736,"MEDIDOR DEMANDA ELETRICIDADE, TIPO: TRIFÁSICO , TIPO MEDIÇÃO: INDIRETA , TENSÃO ALIMENTAÇÃO: 220 V, MODELO: DIGITAL",medidores_energia,Medidores Energia,1,Curadoria técnica com cobertura e comparabilidade validadas,True
328651,"TRANSFORMADOR CORRENTE ATÉ 138 KV, NOME: TRANSFORMADOR CORRENTE ATÉ 138 KV",transformadores,Transformadores,1,Curadoria técnica com cobertura e comparabilidade validadas,True
486473,"TRANSFORMADOR DISTRIBUIÇÃO, TIPO: TRIFÁSICO , POTÊNCIA NOMINAL: 300 KVA, TENSÃO NOMINAL: 380/220 V, FREQUÊNCIA NOMINAL: 60 HZ, APLICAÇÃO: REDE DE ENERGIA ELÉTRICA , TIPO ISOLAÇÃO: ÓLEO MINERAL",transformadores,Transformadores,1,Curadoria técnica com cobertura e comparabilidade validadas,True
